Category	Field Path	Type	Status	DB Column(s)	Source Code Line	Impact
Buyer Address	buyer.address.*	object	❌ IGNORED	—	—	Same as seller (16 nested fields lost)
PIN Identifier	site.pin.original	string	❌ IGNORED	—	—	Human-readable format lost
PIN Identifier	site.pin.display	string	❌ IGNORED	—	—	Display format lost
PIN Identifier	site.pin.api_format	string	✅ WRITTEN	transactions.pin	308	—
PIN Metadata	site.pin.multiple	boolean	❌ IGNORED	—	—	Never written (indicates multi-parcel deals)
ARN Identifier	site.arn.original	string	❌ IGNORED	—	—	Human-readable format lost
ARN Identifier	site.arn.display	string	❌ IGNORED	—	—	Display format lost
ARN Identifier	site.arn.api_format	string	✅ WRITTEN	transactions.arn, properties.arn	302, 227-232	—
Site Metrics	site.acreage	number	✅ WRITTEN	transactions.acreage, properties.acreage	308, 255	—
Site Metrics	site.legal_description	string	✅ WRITTEN	transactions.legal_description, properties.legal_description	308, 256	—
Site Metadata	site.location	string	❌ IGNORED	—	—	Location description lost (e.g., "NW corner Thamesgate Dr and Airport Rd")
Site Flags	site.surface_rights_only	boolean	❌ IGNORED	—	—	Never written
Parcel Resolution	parcel.resolved_arn	string	✅ WRITTEN	transactions.arn, properties.arn	302, 230	—
Parcel Metadata	parcel.method	string	❌ IGNORED	—	—	Resolution method lost (spatial_geocode vs arn_cache)
Parcel Metadata	parcel.parcel_file	string	❌ IGNORED	—	—	Geometry file reference lost
Consideration	consideration.cash	integer	⚠️ JSON ONLY	transactions.consideration_json	309	Not SQL-queryable
Consideration	consideration.debt	integer	⚠️ JSON ONLY	transactions.consideration_json	309	Not SQL-queryable
Consideration	consideration.chattels	string	⚠️ JSON ONLY	transactions.consideration_json	309	Not SQL-queryable
Consideration	consideration.other	string	⚠️ JSON ONLY	transactions.consideration_json	309	Not SQL-queryable
Consideration	consideration.charges[].chargee	string	⚠️ JSON ONLY	transactions.consideration_json	309	Not SQL-queryable
Consideration	consideration.charges[].principal	integer	⚠️ JSON ONLY	transactions.consideration_json	309	Not SQL-queryable
Consideration	consideration.charges[].rate	string	⚠️ JSON ONLY	transactions.consideration_json	309	Not SQL-queryable
Consideration	consideration.charges[].registered	date	⚠️ JSON ONLY	transactions.consideration_json	309	Not SQL-queryable
Consideration	consideration.charges[].due	string	⚠️ JSON ONLY	transactions.consideration_json	309	Not SQL-queryable
Broker	broker.brokers[].brokerage	string	⚠️ JSON ONLY	transactions.broker_json	310	Not SQL-queryable
Broker	broker.brokers[].agents[]	array	⚠️ JSON ONLY	transactions.broker_json	310	Not SQL-queryable
Broker	broker.brokers[].phone	string	⚠️ JSON ONLY	transactions.broker_json	310	Not SQL-queryable
Description	description.description	string	✅ WRITTEN	transactions.description	307	—
Description	description.more_info_url	string	❌ IGNORED	—	—	Never written (supplementary PDF links lost)
Photos	photos.street_photo_urls	array	⚠️ JSON ONLY	transactions.photos_json	311	Not SQL-queryable
Photos	photos.aerial_photo_urls	array	⚠️ JSON ONLY	transactions.photos_json	311	Not SQL-queryable
Photos	photos.standalone_photo_url	string	⚠️ JSON ONLY	transactions.photos_json	311	Not SQL-queryable
Metadata	source_id	string	✅ WRITTEN	transactions.source_id, properties.most_recent_source_id	302, 279	—
Metadata	source	string	❌ IGNORED	—	—	Always "rt", not needed
Metadata	source_folder	string	✅ WRITTEN	transactions.source_folder (property_type extracted)	312, 214	—
Metadata	compiled_at	timestamp	❌ IGNORED	—	—	Engine processing timestamp lost
